Time	# Active Stations	ECNE (red > 0.6)	ECPN (red > 0.6)	EMFO (red > 0.6)	EPDN (red > 0.6)	EPLC (red > 0.6)	ESLN (red > 0.6)	ESPC (red > 0.6)	ESVO (red > 0.6)	
20210102_11:00	8	0	0	0	0	0	0	0	0	
20210102_11:05	8	0	0	0	0	0	0	0	0	
20210102_11:10	8	0	0	0	0	0	0	0	0	
20210102_11:15	8	0	0	0	0	0	0	0	0	
20210102_11:20	8	0	0	0	0	0	0	0	0	
20210102_11:25	8	0	0	0	0	0	0	0	0	
20210102_11:30	8	0	0	0	0	0	0	0	0	
20210102_11:35	8	0	0	0	0	0	0	0	0	
20210102_11:40	8	0	0	0	0	0	0	0	0	
20210102_11:45	8	0	0	0	0	0	0	0	0	
20210102_11:50	8	0	0	0	0	0	0	0	0	
20210102_11:55	8	0	0	0	0	0	0	0	0	
20210102_12:00	8	0	0	0	0	0	0	0	0	
20210102_12:05	8	0	0	0	0	0	0	0	0	
20210102_12:10	8	0	0	0	0	0	0	0	0	
20210102_12:15	8	0	0	0	0	0	0	0	0	
20210102_12:20	8	0	0	0	0	0	0	0	0	
20210102_12:25	8	0	0	0	0	0	0	0	0	
20210102_12:30	8	0	0	0	0	0	0	0	0	
20210102_12:35	8	0	0	0	0	0	0	0	0	
20210102_12:40	8	0	0	0	0	0	0	0	0	
20210102_12:45	8	0	0	0	0	0	0	0	0	
20210102_12:50	8	0	0	0	0	0	0	0	0	
20210102_12:55	8	0	0	0	0	0	0	0	0	
20210102_13:00	8	0	0	0	0	0	0	0	0	
20210102_13:05	8	0	0	0	0	0	0	0	0	
20210102_13:10	8	0	0	0	0	0	0	0	0	
20210102_13:15	8	0	0	0	0	0	0	0	0	
20210102_13:20	8	0	0	0	0	0	0	0	0	
20210102_13:25	8	0	0	0	0	0	0	0	0	
20210102_13:30	8	0	0	0	0	0	0	0	0	
20210102_13:35	8	0	0	0	0	0	0	0	0	
20210102_13:40	8	0	0	0	0	0	0	0	0	
20210102_13:45	8	0	0	0	0	0	0	0	0	
20210102_13:50	8	0	0	0	0	0	0	0	0	
20210102_13:55	8	0	0	0	0	0	0	0	0	
20210102_14:00	8	0	0	0	0	0	0	0	0	
20210102_14:05	8	0	0	0	0	0	0	0	0	
20210102_14:10	8	0	0	0	0	0	0	0	0	
20210102_14:15	8	0	0	0	0	0	0	0	0	
20210102_14:20	8	0	0	0	0	0	0	0	0	
20210102_14:25	8	0	0	0	0	0	0	0	0	
20210102_14:30	8	0	0	0	0	0	0	0	0	
20210102_14:35	8	0	0	0	0	0	0	0	0	
20210102_14:40	8	0	0	0	0	0	0	0	0	
20210102_14:45	8	0	0	0	0	0	0	0	0	
20210102_14:50	8	0	0	0	0	0	0	0	0	
20210102_14:55	8	0	0	0	0	0	0	0	0	
20210102_15:00	8	0	0	0	0	0	0	0	0	
20210102_15:05	8	0	0	0	0	0	0	0	0	
