station,x,y,elevation,est. elevation,d_elevation,%error,type,x_model,y_model
EW03,498134,4171672,N/A,1729.20300292969,N/A,#VALUE!,GPS,48134,46672
EW01,498296,4170453,N/A,1491.39404296875,N/A,#VALUE!,GPS,48296,45453
EW02,498592,4171824,N/A,1758.17102050781,N/A,#VALUE!,GPS,48592,46824
EMSL,498778,4167212,N/A,1071.78405761719,N/A,#VALUE!,GPS,48778,42212
EW04,498876,4172278,N/A,1854.72497558594,N/A,#VALUE!,GPS,48876,47278
NS21,499579,4173308,N/A,2132.19311523438,N/A,#VALUE!,GPS,49579,48308
ECNL,499733,4169033,N/A,1280.45300292969,N/A,#VALUE!,GPS,49733,44033
NS06,500462,4180451,N/A,2743.90307617188,N/A,#VALUE!,GPS,50462,55451
NS05,500575,4181049,N/A,2611.07690429688,N/A,#VALUE!,GPS,50575,56049
NS07,500610,4180037,N/A,2806.21704101562,N/A,#VALUE!,GPS,50610,55037
EW05,500827,4172590,N/A,1878.45397949219,N/A,#VALUE!,GPS,50827,47590
NS03,500860,4181959,N/A,2412.43994140625,N/A,#VALUE!,GPS,50860,56959
MONT,501231,4208427,N/A,861.103820800781,N/A,#VALUE!,GPS,51231,83427
NS02,501283,4182458,N/A,2312.30590820312,N/A,#VALUE!,GPS,51283,57458
EW06,501303,4172684,N/A,1839.68395996094,N/A,#VALUE!,GPS,51303,47684
OBS,501344,4180163,N/A,2770.67797851562,N/A,#VALUE!,GPS,51344,55163
MPL,501671,4162063,N/A,752.618225097656,N/A,#VALUE!,GPS,51671,37063
EW10,501860,4171758,N/A,1665.21997070312,N/A,#VALUE!,GPS,51860,46758
EW07,501908,4172296,N/A,1717.68896484375,N/A,#VALUE!,GPS,51908,47296
NS01,502153,4183269,N/A,2089.95703125,N/A,#VALUE!,GPS,52153,58269
TMPR,502194,4184888,N/A,1916.24194335938,N/A,#VALUE!,GPS,52194,59888
EW11,502572,4171155,N/A,1524.22998046875,N/A,#VALUE!,GPS,52572,46155
EW12,502658,4170200,N/A,1408.91101074219,N/A,#VALUE!,GPS,52658,45200
ETAR,502729,4168544,N/A,1113.05297851562,N/A,#VALUE!,GPS,52729,43544
EW08,502933,4172455,N/A,1624.73498535156,N/A,#VALUE!,GPS,52933,47455
L23,503093,4184205,N/A,1892.49597167969,N/A,#VALUE!,GPS,53093,59205
EPEL,503358,4165274,N/A,833.514099121094,N/A,#VALUE!,GPS,53358,40274
EW09,503520,4172506,N/A,1565.75,N/A,#VALUE!,GPS,53520,47506
